BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
2208100,3416,321745,15194,765704,2493,27624,22522,418529,1272757
52421,170311,23098,42023,765704,15950,1229808,113556,34721,397205
64022,162381,5256,246771,10784,36665,20793,22522,53108,272900
540616,8065,149070,321253,79595,143346,148785,422126,34611,1041838
315896,85292,1085435,118847,10708,231956,169149,174199,8886,44933
5579,81536,387181,3879,47047,49029,26563,22522,3360885,457
347398,84683,22522,48223,132817,13736,73775,1220378,181293,272225
90289,4166,245488,4202,28279,12243,1703,942,52296,50097
5127,18160,245488,157246,102727,84739,7351185,538947,389671,184856
18074,8391,770994,24930,8192,82646,13592,245488,32156,260701
258862,316883,719728,17290,129589,2498,48369,67816,61132,31831
503594,1215999,67816,318207,84976,150767,127617,513418,41408,121941
5682,1215999,67816,25616,12859,292823,261192,75195,113351,6073
87618,72286,64843,151376,312860,45410,22397,15730,54503,12973
49728,1104,217256,348098,1673792,76389,3914,44944,64256,26922
500618,519043,1417664,538947,5201,15623,83091,19205,7248,107880
381244,201432,335826,151955,69259,15188,11214,29337,38655,165788
665445,76613,426617,185208,9138,15623,68302,87370,11807,230410
15188,786178,31011,48848,40262,87186,829,59544,521425,30721
45410,92932,30020,44713,68885,22504,44511,45933,348098,7354
1057858,96800,70706,57378,81892,45410,46090,18294,32077,25874
49728,991697,82351,13501,25889,1920,109887,32864,259423,81892
334696,39230,50073,56308,32459,4631,45669,2852,2652,1319
31782,245255,9003,17756,25349,45410,49786,54010,150171,397205
35085,991697,60687,41735,24042,38168,15450,127908,107776,91444
146882,102214,70825,121817,1442,45410,18237,434944,18603,98414
134220,178597,1214055,89497,8819,674,282072,28219,298925,111480
15188,8417,78457,7983,186665,40592,509179,60805,16401,45087
104007,1693296,29304,592630,245639,43433,83091,291230,59892,12993
104007,243145,51254,597897,22483,134220,17428,503668,16496,183860
93242,102214,146666,123244,219238,20275,141318,510515,152019,16632
746122,3628,48724,48647,210582,134220,151266,1952,467537,122885
47625,334696,44495,356580,449551,10943,1690,37318,7928,91588
59302,13197,54574,191048,8677,1161938,78867,144686,124068,27668
2630,189800,3360885,10890,141991,665445,42037,121620,3801,139591
68377,241630,3360885,195566,614822,187903,2671,36576,55021,1641976
57825,185827,75298,89497,87909,2277647,256458,6923,298925,1113321
241472,109835,7633,44242,140810,48922,42037,24992,73109,206253
3344169,18111,9122,11990,15296,97332,256458,314,50362,26337
1743875,569079,860850,6620,1985368,17315,50805,260661,156540,56777
107309,623415,49618,30326,198214,165742,176577,57368,679768,157104
49070,3914,426617,169564,532311,51300,35904,14777,24902,487776
16064,72582,398842,19264,13500,372557,623415,51166,40705,497956
1161674,35904,654979,3998,247984,551271,48145,735792,102169,67304
912683,48878,158066,10724,17031,13636,401273,6565,332254,158776
16852,78867,654979,35113,201325,962871,152425,110554,96293,68405
19439,256458,780545,54294,160720,68377,7663,3894314,227592,39493
162586,623415,42490,11864,140810,64254,285117,13536,4237,1342662
42956,623415,54492,5109,56566,54479,27450,1744888,51269,206225
7325,1109447,3360885,67789,1342662,52636,256458,3060501,74488,151031
