BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
2,3,51,546,515,592,337,285,977,796,737,1013,714,624,817,211,166,731,896,857,540,645.0,602.0,546.0,772.0,711.0,981.0,395.0,326.0,1175.0
431,376,1083,743,641,1464,337,285,977,499,464,703,473,422,893,403,344,1038,419,358,704,147.0,112.0,849.0,794.0,734.0,997.0,559.0,486.0,1069.0
536,475,954,668,587,1140,517,448,1125,294,241,1096,257,209,748,907,854,920,304,227,1370,236.0,169.0,1061.0,337.0,285.0,977.0,668.0,607.0,988.0
860,815,516,796,755,552,879,826,829,186,140,618,552,497,704,1072,1013,988,682,639,712,337.0,285.0,977.0,41.0,14.0,46.0,414.0,340.0,825.0
577,531,901,419,358,704,142,87,817,615,539,1044,869,814,991,407,332,1069,600,548,722,662.0,590.0,1059.0,294.0,241.0,1096.0,337.0,285.0,977.0
577,531,901,56,50,50,337,285,977,615,539,1044,394,331,1101,884,806,1001,138,104,691,662.0,590.0,1059.0,794.0,734.0,997.0,419.0,358.0,704.0
213,164,872,431,376,1083,548,486,1059,443,348,819,438,385,943,347,278,1201,87,29,640,337.0,285.0,977.0,231.0,163.0,1106.0,259.0,235.0,624.0
336,256,758,716,658,942,337,285,977,231,163,1106,438,385,943,213,164,872,87,29,640,448.0,410.0,733.0,523.0,451.0,1280.0,570.0,497.0,1215.0
567,506,983,304,227,1370,147,112,849,544,466,966,84,35,590,1072,1013,988,741,668,990,337.0,285.0,977.0,231.0,163.0,1106.0,570.0,497.0,1215.0
200,135,1154,431,376,1083,533,477,1023,276,196,1240,395,326,1175,403,344,1038,682,639,712,609.0,542.0,1104.0,544.0,466.0,966.0,580.0,523.0,1073.0
415,339,1196,386,332,1071,448,410,733,724,660,1073,403,344,1038,351,302,767,431,376,1083,662.0,590.0,1059.0,117.0,66.0,709.0,609.0,542.0,1104.0
403,344,1038,728,668,983,147,112,849,615,539,1044,473,422,893,575,499,1442,213,164,872,68.0,29.0,1.0,443.0,348.0,819.0,548.0,486.0,1059.0
403,344,1038,358,311,800,147,112,849,375,325,621,892,820,967,743,641,1464,233,177,994,333.0,300.0,640.0,438.0,390.0,779.0,714.0,624.0,817.0
403,344,1038,740,667,993,633,579,911,399,340,924,284,232,851,715,659,1003,614,568,765,448.0,410.0,733.0,321.0,246.0,1225.0,548.0,486.0,1059.0
200,135,1154,614,568,765,448,410,733,532,484,935,473,422,893,403,344,1038,728,668,983,783.0,721.0,1121.0,544.0,466.0,966.0,284.0,232.0,851.0
403,344,1038,728,668,983,609,542,1104,294,248,856,414,340,825,75,27,420,671,604,1234,448.0,410.0,733.0,516.0,466.0,747.0,473.0,422.0,893.0
403,344,1038,233,177,994,772,708,1076,516,466,747,20,18,100,455,405,1016,280,226,1031,389.0,303.0,1462.0,390.0,330.0,870.0,473.0,422.0,893.0
