BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
31,38,78,541,485,912,56,41,100,475,435,797,278,252,666,10,3,4,327,298,677,272.0,251.0,74.0,458,406,985,376,345,525
122,108,751,177,169,570,31,38,78,150,124,986,525,495,643,729,674,954,376,349,691,458.0,406.0,985.0,101,76,1057,309,277,500
300,245,1164,589,538,1112,458,406,985,25,18,100,619,616,576,416,373,938,310,268,859,799.0,788.0,521.0,136,107,1055,298,259,965
6,4,75,477,447,909,650,588,951,23,23,41,530,489,941,416,373,938,194,149,447,458.0,406.0,985.0,136,107,1055,552,499,1057
397,362,738,191,180,151,692,647,664,42,34,75,359,336,411,10,3,4,541,510,691,458.0,406.0,985.0,557,536,378,406,376,824
297,276,474,307,220,1571,312,294,415,269,215,687,337,318,571,562,537,672,287,269,645,458.0,406.0,985.0,88,77,329,262,205,1059
347,322,894,762,731,907,425,386,895,357,278,1428,19,6,75,218,189,658,37,23,168,686.0,619.0,1255.0,240,185,975,121,95,906
10,3,4,477,447,909,416,373,938,650,588,951,497,456,893,298,242,929,1129,1094,684,425.0,386.0,895.0,314,295,697,744,678,1315
505,470,720,123,96,1115,425,386,895,43,29,18,497,456,893,142,98,763,541,485,912,8.0,2.0,55.0,136,107,1055,19,6,75
582,545,596,357,326,620,794,760,727,51,37,324,12,21,34,121,102,420,11,7,91,425.0,386.0,895.0,118,101,592,50,65,74
