BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
3896,14939,219569,103286,1697098,45647,6127,66970,9996,134772
363,18831,24458,38058,254114,3145,32024,16323,1279,3546
46212,13117,79774,79379,4200,3382,160969,35324,5137,24578
30242,27697,78655,40617,59295,571,277728,29146,189,24578
76405,172039,210259,1076,41593,1425264,12028,21558,30199,12773
70649,17835,56093,437399,42228,16542,4533,159768,15441,140940
70649,1520,968,125240,2240682,1574351,24012,12908,115043,218389
1573543,24012,12908,81075,5739,96501,88719,715655,4908,22037
58495,19400,293245,50903,32968,12155,14823,51443,1546,297733
95326,49456,961544,39027,152149,3471,107749,843567,9270,3608
98502,128053,1573543,7590,17700,176457,293870,21888,9276,152149
80002,339841,28025,270179,264552,150696,4206,222860,6975,627865
55420,522768,107601,644438,10236,309844,293870,50669,87413,49957
593010,159768,43112,85887,7780,193984,49456,24545,1232,1234636
29515,79114,1364,540920,76684,10381,921825,293870,83426,17700
1666691,2532239,62516,138677,13804,73271,293870,9786,97157,5335
184666,293732,259712,266082,202699,19423,10678,164107,34636,57203
4010320,293732,7002,52635,33862,185781,214233,3087351,32030,1848621
285592,262620,2991652,153290,193848,157026,1121660,293870,895246,12049
29515,262620,102117,39119,58198,15215,293870,497759,58109,3287
175449,195565,72085,18231,131056,228657,6107,497759,171530,601819
98502,5005,320768,2590,23482,47146,293870,116424,53117,155775
51424,49456,44785,115043,51306,26890,27218,116424,1569,155775
26844,111017,43921,54742,5915,262143,49456,107968,61042,262
301792,34432,293732,69562,515213,1613,20480,131681,10691,114985
26844,49456,99910,254529,908972,81537,383996,62102,71355,64683
9064,293732,10810,79422,71919,44482,424261,311140,25246,41740
1188436,293732,104950,47499,51306,4262,8594,90211,26040,4893
1018830,293732,20211,121930,72773,89549,8594,46125,15159,56915
330766,163806,424049,113589,75139,840391,1121660,2667,24254,10236
1392321,2588765,102903,68245,213769,121156,55749,34432,13292,235922
121156,17706,258851,6064,245331,179624,1392321,181269,82691,69524
81326,64387,3326,81561,44074,376387,66369,1718,1133,62957
330766,34504,2856307,126917,3410,133261,834697,116424,25942,28311
43883,10165,21181,248226,66849,4070,34504,5743,122017,343048
494168,26399,228190,113088,55676,56799,130256,1471869,42212,540920
306252,59206,60450,48938,1234636,76223,329012,8454,305841,70323
109792,25054,16996,44390,155775,81326,102675,109872,17090,143405
21503,10130,23502,202704,14944,81326,31011,515,490856,81828
64582,525776,1552637,380950,11700,24775,930643,142982,10157,86672
7247,252911,21558,79496,56915,7266,7413,1818689,57595,27136
160260,109507,6393,245928,17700,94936,78236,574456,44077,140392
2840925,8594,62102,95326,64683,99487,1177940,494168,490856,140392
150696,148632,190,23871,18653,75721,145118,40919,189298,52118
2008,41795,191693,26081,62957,96501,236032,28502,8071,140392
150696,122170,141770,34899,139584,90136,638,1294,70874,11036
46982,59206,176280,675492,139584,217788,1772330,3885,37140,15984
117465,35720,159768,24571,36355,29823,30386,64441,48938,36333
13167,101334,111133,22483,6939661,23150,251826,64441,1497,29075
68421,318894,74872,104925,10381,120267,7075,26883,11722,41662
98502,80508,27248,146399,601819,2216889,329012,61928,9408,36355
45613,293732,18936,112496,72466,45298,98626,1105472,49331,140392
2872,35162,50559,48373,139584,82844,35277,5570,81075,1867
25329,353375,32609,67808,63789,43948,396006,108864,31081,36355
913356,65447,269291,463267,139584,2216889,47807,27055,386582,75960
113247,4109,62737,37087,139584,313162,5198,3197,82691,80837
46625,97965,11740,298872,239697,641170,45180,18057,78486,49150
4225871,8976,426480,168555,1834022,2326809,9586,39873,1243,56915
185422,87035,426480,335827,698229,4451,86921,574456,51596,62957
74436,94673,123563,426480,431640,12949,3927,510,35435,248985
32209,28759,55676,426480,3490,494168,3094,207801,185174,4045
494168,4539,73509,6703,493693,46421,7723,1471869,426480,1096323
6482793,529175,426480,218621,812457,44493,69457,198081,5056,78474
57511,4722,11100,39344,4010,154424,1758045,28483,12743,38353
22491,4722,31382,60365,12906,19870,99061,47300,24166,10726
98153,14777,54307,88408,552288,83953,871,31382,49192,47259
31808,146,31382,224478,14359,22472,28292,31644,39319,215710
3801,2301,426480,64905,40094,96193,48358,14782,59382,71111
7670,832780,20218,7071,34780,19423,104730,84433,15488,264552
150086,104198,199099,7071,264552,98502,15118,57974,51596,13601
43883,63154,1737291,6682,55647,1392321,1177940,42816,8071,52508
26878,320796,36830,64158,110516,365360,12236,12500,187824,19055
2532,115397,62102,15628,73412,24877,301834,176790,79422,18133
104036,4241,29720,14544,26196,252748,6604,26969,122017,68232
365218,76407,81606,60485,73414,74227,7478,208589,7046,6377
68837,79996,29734,286845,17700,352964,6275,257744,8856,12351
2215251,22720,21558,3502,64273,68837,5697,793672,48493,56915
593010,16756,399139,632864,56420,1666691,6275,66642,115043,6804
494168,5697,21558,53117,3287,18665,1147,793672,71355,244713
1227464,8698,87939,263522,1072659,21500,56623,107968,53117,13997
815333,94673,296217,47499,23869,527166,29641,67253,8832,13950
7219,124720,313327,295,159854,1392321,34363,257202,48493,2537
91894,247051,593103,46052,159854,1392321,159768,108864,5161,12868
68335,2588765,159768,47499,49957,43781,372648,329203,47978,266
128371,10856,444107,47499,325831,1554550,92906,24789,17688,228454
12203,41833,1737439,27875,120269,199573,48501,115205,115043,142936
274535,88250,309749,115043,236437,88361,13541,248661,57201,133985
376387,7803,1737439,82573,105400,20516,163806,68245,115043,601819
3471,424049,45131,166582,363092,28829,83207,54784,115043,49683
98502,214068,3446771,115043,71452,130223,9250,367016,166582,228315
68827,13820,98502,115043,476,176457,424049,831780,18136,71452
94936,102864,208263,115043,110516,1116790,725156,52047,194611,3684
188886,145080,368435,19998,20777,4361,4291,14431,587067,149324
7571,114037,10247,449289,16560,55961,1914796,377126,137399,108115
1316902,84919,100994,19998,88933,31505,12358,120406,734387,9690
376533,19231,14735,63729,149324,16890,247051,1552966,207672,36565
65089,57269,331563,123318,64291,15183,12772,81082,19998,42557
