BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
5.0,5.0,9.0,41.0,41.0,47.0,36.0,38.0,1.0,14.0,9.0,33.0,116.0,97.0,58.0,267.0,224.0,273.0,37.0,26.0,0.0,325.0,274.0,72.0,,,,13.0,7.0,27.0
11.0,8.0,25.0,31.0,24.0,59.0,267.0,224.0,273.0,20.0,23.0,23.0,,,,12.0,10.0,100.0,36.0,28.0,98.0,45.0,35.0,75.0,23.0,19.0,64.0,51.0,47.0,81.0
240.0,206.0,858.0,365.0,311.0,978.0,10.0,12.0,0.0,153.0,116.0,806.0,432.0,399.0,481.0,48.0,21.0,99.0,267.0,224.0,273.0,19.0,22.0,74.0,5.0,14.0,75.0,11.0,4.0,85.0
71.0,68.0,60.0,110.0,91.0,660.0,233.0,187.0,996.0,92.0,55.0,527.0,316.0,283.0,762.0,643.0,624.0,816.0,267.0,224.0,273.0,379.0,320.0,1130.0,598.0,574.0,616.0,22.0,14.0,37.0
350.0,317.0,718.0,192.0,167.0,729.0,267.0,224.0,273.0,202.0,185.0,110.0,22.0,14.0,37.0,210.0,161.0,891.0,420.0,387.0,896.0,228.0,182.0,814.0,598.0,574.0,616.0,248.0,192.0,1257.0
240.0,206.0,858.0,267.0,224.0,273.0,42.0,23.0,78.0,222.0,204.0,1179.0,296.0,234.0,818.0,225.0,156.0,664.0,447.0,385.0,1256.0,293.0,230.0,1090.0,598.0,574.0,616.0,833.0,800.0,882.0
763.0,696.0,1296.0,224.0,186.0,1159.0,233.0,187.0,996.0,296.0,285.0,587.0,425.0,379.0,1066.0,283.0,184.0,1398.0,267.0,224.0,273.0,226.0,198.0,710.0,217.0,169.0,1141.0,226.0,190.0,585.0
,,,72.0,66.0,74.0,107.0,109.0,0.0,267.0,224.0,273.0,202.0,187.0,75.0,,,,18.0,4.0,38.0,,,,108.0,108.0,10.0,3.0,9.0,24.0
25.0,13.0,81.0,,,,,,,,,,8.0,6.0,0.0,,,,115.0,102.0,98.0,,,,267.0,224.0,273.0,261.0,267.0,40.0
,,,225.0,211.0,37.0,,,,99.0,117.0,0.0,,,,267.0,224.0,273.0,,,,313.0,310.0,57.0,55.0,59.0,82.0,42.0,15.0,1.0
19.0,16.0,73.0,,,,267.0,224.0,273.0,23.0,13.0,47.0,42.0,15.0,1.0,12.0,8.0,17.0,46.0,48.0,50.0,10.0,9.0,4.0,55.0,54.0,28.0,92.0,87.0,62.0
172.0,134.0,773.0,267.0,221.0,976.0,19.0,22.0,74.0,244.0,214.0,986.0,833.0,800.0,882.0,365.0,311.0,978.0,267.0,224.0,273.0,115.0,76.0,824.0,12.0,11.0,2.0,410.0,347.0,1148.0
6.0,5.0,43.0,15.0,12.0,31.0,48.0,54.0,2.0,267.0,224.0,273.0,157.0,142.0,203.0,74.0,59.0,15.0,382.0,348.0,81.0,8.0,5.0,86.0,18.0,21.0,1.0,22.0,15.0,1.0
266.0,232.0,812.0,370.0,348.0,751.0,219.0,178.0,943.0,211.0,205.0,738.0,188.0,171.0,364.0,79.0,50.0,16.0,304.0,257.0,1159.0,283.0,242.0,714.0,61.0,49.0,359.0,95.0,60.0,477.0
219.0,178.0,943.0,73.0,48.0,287.0,188.0,164.0,630.0,724.0,697.0,597.0,326.0,311.0,761.0,476.0,437.0,788.0,311.0,282.0,867.0,15.0,2.0,30.0,291.0,275.0,421.0,42.0,22.0,197.0
219.0,178.0,943.0,511.0,481.0,752.0,156.0,132.0,837.0,211.0,205.0,738.0,419.0,383.0,701.0,7.0,5.0,77.0,120.0,77.0,1019.0,99.0,69.0,754.0,217.0,169.0,1141.0,234.0,214.0,662.0
219.0,178.0,943.0,333.0,308.0,750.0,176.0,124.0,1230.0,10.0,7.0,89.0,22.0,14.0,37.0,245.0,220.0,754.0,5.0,2.0,38.0,8.0,8.0,91.0,92.0,55.0,527.0,167.0,152.0,838.0
219.0,178.0,943.0,330.0,306.0,669.0,149.0,102.0,920.0,17.0,16.0,100.0,326.0,311.0,761.0,244.0,214.0,910.0,162.0,113.0,985.0,176.0,124.0,1230.0,92.0,55.0,527.0,5.0,3.0,5.0
219.0,178.0,943.0,13.0,20.0,75.0,338.0,291.0,1107.0,222.0,204.0,1179.0,185.0,154.0,625.0,4.0,12.0,4.0,243.0,229.0,746.0,953.0,918.0,842.0,345.0,295.0,1255.0,690.0,629.0,1415.0
763.0,696.0,1296.0,137.0,148.0,432.0,368.0,354.0,616.0,170.0,120.0,820.0,41.0,42.0,53.0,139.0,95.0,614.0,360.0,326.0,767.0,219.0,178.0,943.0,501.0,480.0,483.0,142.0,90.0,696.0
329.0,284.0,1040.0,224.0,186.0,1159.0,7.0,3.0,79.0,173.0,130.0,807.0,6.0,4.0,55.0,219.0,178.0,943.0,197.0,155.0,802.0,953.0,918.0,842.0,244.0,214.0,986.0,393.0,345.0,968.0
672.0,643.0,836.0,86.0,9.0,100.0,206.0,172.0,829.0,244.0,214.0,986.0,326.0,311.0,761.0,219.0,178.0,943.0,328.0,244.0,862.0,953.0,918.0,842.0,211.0,205.0,738.0,142.0,90.0,696.0
240.0,206.0,858.0,197.0,155.0,802.0,174.0,138.0,843.0,303.0,261.0,842.0,393.0,345.0,968.0,219.0,178.0,943.0,296.0,231.0,705.0,263.0,207.0,1252.0,54.0,28.0,66.0,248.0,218.0,687.0
219.0,178.0,943.0,248.0,212.0,824.0,953.0,918.0,842.0,244.0,214.0,986.0,326.0,311.0,761.0,227.0,191.0,937.0,197.0,155.0,802.0,221.0,164.0,1313.0,303.0,261.0,842.0,833.0,800.0,882.0
763.0,696.0,1296.0,228.0,182.0,814.0,23.0,23.0,96.0,131.0,84.0,982.0,219.0,178.0,943.0,148.0,114.0,949.0,167.0,140.0,395.0,379.0,320.0,1130.0,7.0,4.0,86.0,5.0,0.0,96.0
219.0,178.0,943.0,352.0,334.0,813.0,5.0,3.0,57.0,244.0,214.0,986.0,140.0,125.0,880.0,672.0,643.0,836.0,181.0,151.0,808.0,338.0,291.0,1107.0,833.0,800.0,882.0,330.0,300.0,1004.0
79.0,50.0,16.0,42.0,31.0,18.0,219.0,178.0,943.0,309.0,285.0,666.0,417.0,389.0,883.0,5.0,6.0,81.0,352.0,334.0,813.0,112.0,78.0,888.0,167.0,152.0,838.0,140.0,125.0,880.0
219.0,178.0,943.0,154.0,144.0,462.0,941.0,925.0,312.0,234.0,214.0,662.0,212.0,170.0,863.0,70.0,49.0,492.0,350.0,317.0,907.0,146.0,90.0,1168.0,213.0,192.0,764.0,162.0,139.0,723.0
218.0,201.0,502.0,107.0,99.0,498.0,204.0,178.0,590.0,17.0,16.0,100.0,11.0,17.0,50.0,219.0,178.0,943.0,79.0,53.0,505.0,125.0,89.0,526.0,130.0,94.0,869.0,350.0,301.0,610.0
8.0,4.0,75.0,13.0,20.0,75.0,219.0,178.0,943.0,5.0,14.0,75.0,833.0,800.0,882.0,263.0,214.0,1164.0,6.0,4.0,75.0,280.0,240.0,903.0,21.0,13.0,100.0,585.0,543.0,1100.0
219.0,178.0,943.0,74.0,42.0,710.0,7.0,3.0,79.0,23.0,23.0,96.0,140.0,125.0,880.0,763.0,696.0,1296.0,389.0,359.0,810.0,106.0,92.0,944.0,9.0,9.0,96.0,161.0,112.0,1189.0
219.0,178.0,943.0,93.0,62.0,760.0,42.0,27.0,75.0,205.0,184.0,646.0,19.0,19.0,51.0,672.0,643.0,836.0,212.0,187.0,789.0,235.0,208.0,724.0,308.0,265.0,921.0,327.0,312.0,763.0
45.0,39.0,2.0,297.0,256.0,647.0,340.0,316.0,662.0,61.0,49.0,359.0,833.0,800.0,882.0,386.0,336.0,727.0,304.0,283.0,355.0,325.0,319.0,477.0,219.0,178.0,943.0,764.0,741.0,741.0
197.0,161.0,686.0,41.0,36.0,6.0,624.0,608.0,477.0,14.0,9.0,92.0,388.0,319.0,498.0,45.0,39.0,2.0,44.0,61.0,2.0,428.0,396.0,517.0,724.0,697.0,597.0,179.0,158.0,623.0
197.0,161.0,686.0,81.0,75.0,507.0,8.0,6.0,1.0,53.0,52.0,0.0,342.0,286.0,580.0,7.0,6.0,31.0,285.0,240.0,576.0,7.0,3.0,79.0,724.0,697.0,597.0,454.0,424.0,438.0
169.0,152.0,544.0,91.0,72.0,502.0,6.0,0.0,62.0,291.0,275.0,421.0,124.0,99.0,346.0,15.0,2.0,30.0,489.0,455.0,814.0,12.0,3.0,36.0,724.0,697.0,597.0,295.0,271.0,562.0
25.0,9.0,100.0,90.0,65.0,215.0,219.0,184.0,100.0,724.0,697.0,597.0,89.0,53.0,271.0,65.0,53.0,228.0,21.0,12.0,100.0,60.0,38.0,110.0,200.0,195.0,432.0,245.0,229.0,236.0
220.0,180.0,1577.0,11.0,1.0,59.0,343.0,314.0,473.0,724.0,697.0,597.0,31.0,31.0,82.0,8.0,5.0,11.0,4.0,2.0,67.0,182.0,163.0,1062.0,29.0,20.0,81.0,518.0,480.0,668.0
126.0,95.0,417.0,355.0,348.0,465.0,225.0,203.0,352.0,23.0,18.0,36.0,11.0,0.0,96.0,11.0,4.0,85.0,73.0,48.0,287.0,626.0,596.0,226.0,724.0,697.0,597.0,158.0,141.0,400.0
32.0,18.0,34.0,514.0,468.0,486.0,298.0,271.0,624.0,8.0,2.0,59.0,422.0,398.0,360.0,565.0,544.0,445.0,489.0,455.0,814.0,60.0,38.0,110.0,724.0,697.0,597.0,622.0,534.0,115.0
111.0,76.0,23.0,85.0,78.0,62.0,917.0,870.0,946.0,724.0,697.0,597.0,148.0,143.0,450.0,10.0,1.0,1.0,20.0,11.0,11.0,576.0,557.0,548.0,270.0,219.0,945.0,119.0,111.0,654.0
