SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
NORTH_AMERICA,114,72,711,895,53,254,62,517,17,221,78,131,429,147,555,30,-1,421,350,122,1,37,25,1,0,4,0,2,0,0,9,2,1,0,1,0,1,0,0
NORTH_AMERICA,122,35,127,222,40,62,221,114,517,29,24,141,142,81,26,238,157,-1,107,523,0,22,17,1,4,1,0,2,0,1,7,2,2,0,0,0,1,0,0
NORTH_AMERICA,92,64,7,429,555,58,119,30,112,9,122,11,157,15,497,114,246,350,119,62,0,23,23,1,2,2,0,2,0,0,4,8,1,0,2,1,0,1,1
NORTH_AMERICA,266,91,245,81,143,29,555,7,58,107,164,28,777,119,350,200,92,246,107,203,0,20,30,1,0,3,1,1,1,0,4,5,1,0,1,2,0,0,1
NORTH_AMERICA,41,64,246,30,555,238,350,17,163,9,518,121,142,15,223,9,39,28,119,888,0,44,31,0,4,0,1,0,2,1,8,4,0,1,0,0,1,0,0
NORTH_AMERICA,85,234,55,119,147,555,157,62,777,122,114,60,246,222,37,76,15,84,350,141,0,27,13,0,3,0,0,2,0,1,5,3,0,1,0,2,0,0,0
NORTH_AMERICA,92,141,27,15,147,119,114,86,103,-1,122,42,104,145,40,114,555,895,-1,29,0,12,21,1,0,3,1,1,1,1,1,11,1,0,1,1,0,2,1
NORTH_AMERICA,114,121,134,16,74,11,38,887,555,41,166,30,234,15,350,266,119,200,555,84,1,4,14,1,0,2,0,1,0,0,1,3,2,0,0,2,0,0,1
NORTH_AMERICA,74,62,777,18,412,104,163,555,268,429,516,238,246,15,57,28,235,114,119,84,1,14,30,1,1,1,1,0,1,1,1,4,2,0,0,2,0,0,1
NORTH_AMERICA,8,104,103,895,16,246,117,350,200,84,92,107,166,147,37,119,238,58,39,429,1,29,37,0,4,1,0,2,0,0,5,10,1,0,1,1,0,2,1
NORTH_AMERICA,150,104,85,119,117,200,23,62,64,166,6,203,127,236,267,114,121,107,268,15,0,45,51,0,3,4,1,1,1,1,8,10,0,2,1,0,2,1,1
NORTH_AMERICA,104,102,166,51,37,268,234,200,246,555,78,76,238,119,40,234,555,122,246,9,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0
NORTH_AMERICA,78,64,246,147,161,11,122,30,350,711,59,131,61,222,53,15,114,200,350,119,0,47,47,1,2,4,0,1,1,0,5,9,0,2,0,0,2,1,1
NORTH_AMERICA,240,517,64,51,117,114,203,26,555,200,516,62,134,119,43,105,-1,141,5,203,0,14,23,1,1,2,0,2,0,0,5,3,2,0,0,2,0,0,1
NORTH_AMERICA,85,104,42,119,40,517,141,888,38,555,41,120,112,15,350,107,203,62,147,30,0,23,30,1,1,3,0,1,1,1,3,8,1,0,1,1,0,2,1
NORTH_AMERICA,266,91,61,360,111,114,120,555,81,78,58,76,246,119,888,122,203,555,84,131,1,8,19,1,1,2,0,1,0,1,2,5,2,0,0,2,0,0,1
NORTH_AMERICA,104,113,84,360,526,-1,268,117,163,350,122,80,127,119,32,200,131,38,114,555,1,32,17,0,3,0,1,1,1,1,8,1,0,1,0,0,1,0,0
