SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,24,78,517,110,888,895,238,120,79,429,92,25,268,236,267,350,15,119,-1,58,0,17,25,1,0,3,0,1,1,0,2,6,1,0,1,1,0,1,1
KOREA,887,421,39,110,223,78,-1,76,350,7,126,72,268,15,888,13,23,429,41,555,0,21,8,0,2,0,0,1,0,0,4,0,2,0,0,2,0,0,0
KOREA,268,64,777,15,53,13,62,7,119,429,8,163,246,81,43,119,78,150,68,429,1,38,18,0,2,0,0,2,0,1,10,2,0,1,0,0,2,0,0
KOREA,777,64,13,523,223,76,114,888,78,429,268,234,517,119,53,68,-1,895,78,350,1,22,40,0,1,3,1,0,2,1,2,7,1,0,1,2,0,0,1
KOREA,876,80,163,429,888,15,350,62,246,120,102,104,268,516,235,78,119,-1,221,-1,0,10,19,1,0,2,1,0,1,1,0,4,2,0,0,2,0,0,1
KOREA,68,62,268,523,22,114,107,111,157,163,23,254,105,429,888,120,267,119,7,58,1,4,22,1,0,1,1,0,1,1,0,3,2,0,0,2,0,0,1
KOREA,79,203,3,222,111,350,55,-1,-1,163,58,80,517,15,497,887,91,429,119,-1,0,15,44,1,0,2,1,0,1,1,0,9,1,0,1,1,0,1,1
KOREA,154,200,711,222,235,68,-1,15,119,7,62,163,39,115,40,429,55,203,119,24,0,33,41,0,3,2,1,0,2,1,8,10,0,2,1,0,2,1,1
KOREA,24,79,39,18,111,555,15,7,887,119,164,141,3,360,12,203,107,76,429,246,0,23,10,0,1,0,0,2,0,0,4,0,0,1,0,2,0,0,0
KOREA,887,59,268,236,12,68,888,-1,119,429,876,64,13,15,350,119,30,-1,78,555,0,4,11,0,1,1,1,0,2,1,0,1,2,0,0,2,0,0,1
KOREA,102,254,163,29,888,429,-1,119,68,62,85,64,777,221,22,-1,119,-1,-1,58,0,12,34,0,1,1,0,1,1,1,0,9,2,0,0,1,0,1,1
KOREA,68,141,166,498,888,266,555,78,111,7,157,131,23,15,350,119,429,7,24,103,0,39,39,0,3,2,1,1,1,1,7,8,0,1,2,0,1,1,1
KOREA,113,30,777,119,888,163,15,-1,-1,-1,78,76,517,523,223,41,163,7,429,887,1,0,2,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1
KOREA,266,163,777,221,111,-1,9,119,55,58,517,234,268,523,89,895,-1,68,15,76,1,14,26,1,1,2,0,1,1,1,2,8,1,0,1,1,0,2,1
KOREA,41,200,163,523,350,30,254,78,-1,-1,166,62,268,81,43,-1,-1,895,429,-1,1,29,28,1,0,3,1,0,2,1,6,5,0,1,0,0,1,0,1
KOREA,268,62,517,15,223,777,119,895,78,157,3,48,13,429,32,350,-1,68,157,163,1,20,39,1,1,2,1,1,1,1,4,7,1,0,1,2,0,0,1
KOREA,420,163,777,202,43,41,268,119,887,15,58,76,7,21,223,9,119,429,84,15,1,8,38,1,0,3,1,0,2,1,2,10,1,0,1,1,0,1,1
