SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE WEST,23,234,517,21,111,119,350,24,166,268,113,101,62,147,555,-1,84,887,421,40,0
EUROPE WEST,82,421,7,523,117,163,777,429,62,555,41,131,895,147,235,267,350,119,78,141,0
EUROPE WEST,85,11,895,147,497,121,67,429,53,777,266,62,163,145,555,350,107,39,119,15,0
EUROPE WEST,238,421,134,236,267,62,-1,429,119,117,266,131,895,221,44,119,-1,350,15,163,1
EUROPE WEST,150,104,134,221,43,121,350,-1,24,236,58,131,7,15,111,-1,350,84,-1,76,1
EUROPE WEST,516,80,84,236,267,166,92,119,163,350,74,221,91,81,111,119,163,39,421,429,0
EUROPE WEST,887,120,517,81,43,62,350,30,-1,-1,84,44,18,895,111,113,141,107,421,350,1
EUROPE WEST,245,72,86,119,111,41,200,163,164,-1,114,76,81,517,555,107,26,221,84,350,1
EUROPE WEST,41,91,245,523,50,28,268,9,517,163,92,238,134,119,37,350,888,77,200,58,0
EUROPE WEST,266,60,246,81,40,114,-1,350,245,15,150,131,518,119,32,17,141,887,163,517,1
EUROPE WEST,9,200,157,81,37,7,141,28,429,78,887,131,234,119,555,40,350,163,17,77,0
EUROPE WEST,887,154,246,119,60,78,11,166,111,103,114,200,134,145,432,203,350,888,429,266,1
EUROPE WEST,114,62,38,429,888,28,119,120,350,24,266,80,163,50,111,39,235,147,246,107,0
EUROPE WEST,119,62,163,777,40,141,246,350,895,114,84,234,517,15,555,107,114,350,421,141,0
EUROPE WEST,777,60,887,157,555,17,895,84,119,246,86,77,163,145,32,119,246,107,164,200,1
